date,HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF,Megawatts_2019
01-01T00:00:00,48.8,44.1,54.0,43.2,35.1,50.0,1020.1,1011.5,1026.9,0.0,16.2,29.7,16.0,11.0,15.7,27.7,48.8,47.3,6.3,25.4,196.0,1.1,5.0,14.7,4.0,14.3,283652.0
01-01T01:00:00,48.5,43.0,54.0,43.1,35.1,50.0,1019.9,1011.0,1026.8,0.0,16.5,29.7,16.0,10.7,14.7,28.9,48.5,47.0,6.2,28.5,193.0,1.2,4.0,14.6,5.0,13.1,252485.0
01-01T02:00:00,47.6,42.1,53.1,42.6,35.1,50.0,1020.0,1011.2,1026.8,0.0,17.4,30.8,15.3,10.5,13.5,29.8,47.6,46.0,6.2,26.5,184.0,0.9,4.0,14.8,6.0,12.5,245501.0
01-01T03:00:00,47.2,41.0,54.0,42.3,34.0,50.0,1020.0,1011.2,1026.9,0.0,17.8,29.1,16.8,9.0,15.3,29.6,47.2,45.5,6.2,24.9,178.0,1.1,4.0,16.3,5.0,13.5,241545.0
01-01T04:00:00,46.8,39.9,53.1,42.2,34.0,50.0,1019.8,1010.5,1026.6,0.0,18.2,25.7,14.3,10.6,17.0,32.4,46.8,45.0,5.9,27.9,175.0,0.8,4.0,15.6,7.0,11.2,241926.0
01-01T05:00:00,46.6,39.9,53.1,42.0,34.0,48.9,1019.7,1010.4,1026.7,0.0,18.4,27.0,14.5,10.5,17.3,30.6,46.6,44.7,6.2,22.9,186.0,1.0,4.0,15.9,5.0,13.5,247438.0
01-01T06:00:00,46.6,39.9,53.1,42.0,34.0,50.0,1019.9,1010.6,1027.0,0.0,18.4,26.4,14.0,11.9,17.5,30.2,46.6,44.8,5.8,28.3,158.0,0.9,4.0,18.9,5.0,10.7,256497.0
01-01T07:00:00,46.8,41.0,53.1,42.2,34.0,48.9,1020.1,1010.8,1027.2,0.0,18.2,13.7,22.3,12.4,22.8,28.8,46.8,44.9,6.2,26.7,156.0,1.4,4.0,21.8,5.0,14.6,256361.0
01-01T08:00:00,47.2,41.0,53.1,42.3,35.1,50.0,1020.4,1010.9,1027.5,0.0,17.8,12.2,16.8,13.3,26.3,31.4,47.2,45.3,6.3,26.7,140.0,1.7,4.0,24.4,5.0,12.3,249077.0
01-01T09:00:00,48.9,44.1,54.0,43.0,35.1,50.0,1020.8,1011.3,1027.9,0.0,16.1,11.4,16.2,15.2,26.6,30.6,48.9,47.3,6.6,25.6,128.0,1.7,4.0,24.9,3.0,12.8,241264.0
01-01T10:00:00,50.5,46.0,55.0,43.3,35.1,50.0,1021.3,1011.9,1028.2,0.0,14.5,10.0,14.0,14.4,30.0,31.6,50.5,49.2,7.2,18.5,103.0,1.8,3.0,21.0,4.0,20.4,234063.0
01-01T11:00:00,51.5,46.9,55.9,43.4,35.1,50.0,1021.1,1012.2,1028.0,0.0,13.5,9.8,18.7,14.5,28.2,28.8,51.5,50.5,7.5,12.7,85.0,1.8,3.0,22.6,2.0,17.7,226898.0
